ProductId,ProductName,ProductDesc,ProductImgPath,ProductBrand
11,Sharp MX-2614N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 26 B/W 26 Colour</li>
<li>Paper capacity: Std 600 Max 3100 sheets</li>
<li>'Cloud' connectivity options and the ability to run Software as a Service (SaaS) applications</li>
<li>7.0"" colour touch-screen LCD facilitates easy operation plus optional keyboard</li>
<li>Standard multi-layer security solutions for data/document protection</li>
<li>Optional space-saving inner finisher and punch module</li>
<li>Environmentally advanced design with energy saving features</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/img-p-document-systems-mx-2614n-gemini2plus-keyboard-hand-260.jpg"">",Sharp
12,Sharp MX-2314N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 23 B/W 23 Colour</li>
<li>Paper capacity: Std 600 Max 3100 sheets</li>
<li>Entry level colour MFP with a range of options</li>
<li>7.0"" colour touch-screen LCD facilitates easy operation plus optional keyboard</li>
<li>'Cloud' connectivity options and the ability to run Software as a Service (SaaS) applications</li>
<li>Optional space-saving inner finisher and punch module</li>
<li>Environmentally advanced design with energy saving features</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/img-p-document-systems-mx-2314n-inner-slant-260.jpg"">",Sharp
13,Sharp MX-C381,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 38 B/W 38 Colour</li>
<li>Paper capacity: Std 600 Max 2100 sheets</li>
<li>A4 Colour MFP with space-saving inner finisher</li>
<li>8.5"" touch-screen colour LCD control panel with thumbnail views</li>
<li>High-quality 1200 x 1200 dpi printing</li>
<li>Industry-leading security solutions for ultimate data/document protection</li>
<li>Sharp OSA 3.0 (Open Systems Architecture) allows integration with network applications and makes them accessible from the LCD control panel</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-C381-slant-finisher-960.jpg"">",Sharp
14,Sharp MX-C312,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 31 B/W 31 Colour</li>
<li>Paper capacity: Std 600 Max 2100 sheets</li>
<li>A4 Colour MFP with space-saving inner finisher</li>
<li>7.0"" touch-screen colour LCD control panel with thumbnail views</li>
<li>High-quality 1200 x 1200 dpi printing</li>
<li>Industry-leading security solutions for ultimate data/document protection</li>
<li>Sharp OSA 3.5 (Open Systems Architecture) allows integration with network applications and makes them accessible from the LCD control panel</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-C312-no-inner-slant-960.jpg"">",Sharp
15,Sharp MX-C301W,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 30 B/W, 30 Colour</li>
<li>Paper capacity: Std 300 Max 800 sheets</li>
<li>Compact and Cloud-capable A4 colour desktop MFP</li>
<li>High quality printing at 600 x 600 dpi</li>
<li>Standard Reversing Single Pass Feeder (RSPF)</li>
<li>Wireless LAN as standard</li>
<li>Sharp OSA option</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-c301w-slant-260.jpg"">",Sharp
16,Sharp MX-C300W,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 30 B/W, 30 Colour</li>
<li>Paper capacity: Std 300 Max 800 sheets</li>
<li>A4 Desktop MFP with a compact and smart design</li>
<li>High quality printing at 600 x 600 dpi</li>
<li>Standard Reversing Single Pass Feeder (RSPF)</li>
<li>USB port for easy scan to USB memory and USB direct print</li>
<li>Wireless LAN as standard</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-c300w-slant-260.jpg"">",Sharp
17,Sharp MX-C250F,"<ul><li>Print, Copy, Scan, Fax</li>
<li>Pages per minute: 25 B/W, 25 Colour</li>
<li>Paper capacity: Std 300 Max 800 sheets</li>
<li>A4 Desktop MFP with a compact and smart design</li>
<li>High quality printing at 600 x 600 dpi</li>
<li>Standard Single Pass Feeder (SPF)</li>
<li>USB port for easy scan to USB memory and USB direct print</li>
<li>Standard PCL/PS3</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-c250f-slant-260.jpg"">",Sharp
18,Sharp MX-M904,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 90 B/W</li>
<li>Paper capacity: Std 3100 Max 13500</li>
<li>High-volume MFP engineered to deliver first-class reliability and performance</li>
<li>Extensive finishing options include 100-sheet stapling, saddle stitch, multi-folding, curl correction, trimming and insertion capabilities</li>
<li>120 opm 1-sided and 200 opm 2-sided scan speed in colour and B/W with standard 250-sheet DSPF</li>
<li>Tiltable 10.1"" colour LCD panel with finger swipe touch control offers superior panel</li>
<li>Designed to ensure easy servicing and maximum uptime with full front access to key</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img-P-document-systems-MX-M904-FN24-LCX3N-slant-960.jpg"">",Sharp
19,Sharp MX-M754N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 75 B/W</li>
<li>Paper capacity: Std 3200 Max 6700 sheets</li>
<li>High performance with advanced fnishing</li>
<li>10.1” tiltable colour LCD panel with multi touch finger swipe touch control</li>
<li>True 1200 x 1200 dpi print resolution</li>
<li>Web browsing option for access to the Internet directly from the control panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m754n-fn22-a4full-slant-z-260.jpg"">",Sharp
20,Sharp MX-M654N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 65 B/W</li>
<li>Paper capacity: Std 3200 Max 6700 sheets</li>
<li>High performance with advanced finishing</li>
<li>10.1” tiltable colour LCD panel with multi touch finger swipe touch control</li>
<li>True 1200 x 1200 dpi print resolution</li>
<li>Web browsing option for access to the Internet directly from the control panel</li>
<li>Industry-leading security solutions for ultimate data/document protection</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m754n-fn22-front-z-260.jpg"">",Sharp
21,Sharp MX-M623U,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 62 B/W</li>
<li>Paper capacity: Std 3100 Max 6600 sheets</li>
<li>True 1200 x 1200 dpi print resolution</li>
<li>8.5"" colour touch screen LCD display facilitates easy operationof key functions</li>
<li>Scan speed of 75 originals per minute in B/W and colour</li>
<li>Robust multi-layer securty solutions for ultimate data/document protection</li>
<li>Remote Access Interface for easier support</li></ul>","<img src=""http://www.sharp.co.uk/cps/rde/xbcr/gb/productimages/260_img_P_document_system_MX-M623U_full_slant-FN14_960.jpg"">",Sharp
22,Sharp MX-M565N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 56 B/W</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>High-quality 1200 x 1200 dpi printing & colour network scanning</li>
<li>10.1"" colour LCD touch-screen with multi-touch gestures (pinch and spread) for easy zooming</li>
<li>150-sheet high speed Duplex Single Pass Feeder (DSPF) and quick scanning at 85 ipm (one sided) in B/W and colour</li>
<li>Standard-equipped security functions include encryption and erasing of internally stored data</li>
<li>Optional internet browsing and printing of Web pages via the MFPs LCD</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m565n-4ks-full-slant-260.jpg"">",Sharp
23,Sharp MX-M564N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 56 B/W</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>600 x 600 dpi printing & colour network scanning</li>
<li>7.0"" colour LCD touch-screen with thumbnail views</li>
<li>100-sheet Reversing Single Pass Feeder (RSPF) and quick scanning at 56 ipm (one sided) in colour and B/W</li>
<li>Standard-equipped security functions include the encryption and erasure of internally stored data</li>
<li>Optional Wireless LAN Adaptor</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m564n-4ks-full-slant-260.jpg"">",Sharp
24,Sharp MX-M465N,"<ul><li>Print, Copy, Scan, Fax, File</li>
<li>Pages per minute: 46 B/W</li>
<li>Paper capacity: Std 600 Max 6600 sheets</li>
<li>High-quality 1200 x 1200 dpi printing & colour network scanning</li>
<li>10.1"" colour LCD touch-screen with multi-touch gestures (pinch and spread) for easy zooming</li>
<li>150-sheet high speed Duplex Single Pass Feeder (DSPF) and quick scanning at 85 ipm (one sided) in B/W and colour</li>
<li>Standard-equipped security functions include encryption and erasing of internally stored data</li>
<li>Optional internet browsing and printing of Web pages via the MFPs LCD</li></ul>","<img src=""http://assets.sharp.eu/product_images/260/mx-m565n-4ks-full-slant-260.jpg"">",Sharp
